month,product_category,company,units
2022-05-01,Earwear,Apple,27441.0
2022-06-01,Earwear,Apple,17913.0
2022-07-01,Earwear,Apple,66799.0
2022-08-01,Earwear,Apple,140968.0
2022-09-01,Earwear,Apple,105696.0
2022-10-01,Earwear,Apple,57570.0
2022-11-01,Earwear,Apple,13664.0
2022-12-01,Earwear,Apple,30918.0
2023-01-01,Earwear,Apple,26266.0
2023-02-01,Earwear,Apple,47560.0
2023-03-01,Earwear,Apple,65443.0
2023-04-01,Earwear,Apple,20618.0
2023-05-01,Earwear,Apple,44251.0
2023-06-01,Earwear,Apple,21036.0
2023-07-01,Earwear,Apple,91487.0
2023-08-01,Earwear,Apple,52079.0
2023-09-01,Earwear,Apple,38603.0
2023-10-01,Earwear,Apple,88423.0
2023-11-01,Earwear,Apple,86803.0
2023-12-01,Earwear,Apple,37580.0
2024-01-01,Earwear,Apple,62096.0
2024-02-01,Earwear,Apple,41260.0
2024-03-01,Earwear,Apple,74723.0
2024-04-01,Earwear,Apple,75628.0
2024-05-01,Earwear,Apple,26792.0
2024-06-01,Earwear,Apple,72437.0
2024-07-01,Earwear,Apple,94596.0
2024-08-01,Earwear,Apple,204169.0
2024-09-01,Earwear,Apple,237988.0
2024-10-01,Earwear,Apple,152898.0
2024-11-01,Earwear,Apple,36949.0
2024-12-01,Earwear,Apple,73343.0
2025-01-01,Earwear,Apple,31477.0
2025-02-01,Earwear,Apple,37561.0
2025-03-01,Earwear,Apple,37351.0
2025-04-01,Earwear,Apple,50766.0
2025-05-01,Earwear,Apple,69645.0
2025-06-01,Earwear,Apple,89181.0
2025-07-01,Earwear,Apple,107702.0
2025-08-01,Earwear,Apple,118908.0
2025-09-01,Earwear,Apple,177230.0
2025-10-01,Earwear,Apple,113231.0
2025-11-01,Earwear,Apple,62937.0
2025-12-01,Earwear,Apple,114681.0
2026-01-01,Earwear,Apple,95279.0
2026-02-01,Earwear,Apple,29885.0
2026-03-01,Earwear,Apple,89053.0
2023-10-01,Earwear,Bang and Olufsen,50.0
2023-11-01,Earwear,Bang and Olufsen,10.0
2023-12-01,Earwear,Bang and Olufsen,5.0
2024-01-01,Earwear,Bang and Olufsen,20.0
2024-02-01,Earwear,Bang and Olufsen,20.0
2024-03-01,Earwear,Bang and Olufsen,27.0
2024-04-01,Earwear,Bang and Olufsen,19.0
2024-05-01,Earwear,Bang and Olufsen,47.0
2024-06-01,Earwear,Bang and Olufsen,38.0
2024-07-01,Earwear,Bang and Olufsen,51.0
2024-08-01,Earwear,Bang and Olufsen,74.0
2024-09-01,Earwear,Bang and Olufsen,54.0
2024-10-01,Earwear,Bang and Olufsen,61.0
2024-11-01,Earwear,Bang and Olufsen,39.0
2024-12-01,Earwear,Bang and Olufsen,51.0
2025-01-01,Earwear,Bang and Olufsen,53.0
2025-02-01,Earwear,Bang and Olufsen,16.0
2025-03-01,Earwear,Bang and Olufsen,54.0
2025-04-01,Earwear,Bang and Olufsen,26.0
2025-05-01,Earwear,Bang and Olufsen,83.0
2025-06-01,Earwear,Bang and Olufsen,11.0
2025-07-01,Earwear,Bang and Olufsen,104.0
2025-08-01,Earwear,Bang and Olufsen,29.0
2025-09-01,Earwear,Bang and Olufsen,143.0
2025-10-01,Earwear,Bang and Olufsen,95.0
2025-11-01,Earwear,Bang and Olufsen,38.0
2025-12-01,Earwear,Bang and Olufsen,18.0
2026-01-01,Earwear,Bang and Olufsen,47.0
2026-02-01,Earwear,Bang and Olufsen,50.0
2026-03-01,Earwear,Bang and Olufsen,48.0
2023-08-01,Earwear,BeatXP,59898.0
2023-09-01,Earwear,BeatXP,19920.0
2023-10-01,Earwear,BeatXP,61200.0
2023-12-01,Earwear,BeatXP,26338.0
2024-01-01,Earwear,BeatXP,20280.0
2024-02-01,Earwear,BeatXP,13919.0
2024-03-01,Earwear,BeatXP,7557.0
2024-04-01,Earwear,BeatXP,14858.0
2024-05-01,Earwear,BeatXP,9678.0
2024-06-01,Earwear,BeatXP,9845.0
2024-07-01,Earwear,BeatXP,5243.0
2024-08-01,Earwear,BeatXP,2430.0
2024-09-01,Earwear,BeatXP,2221.0
2024-10-01,Earwear,BeatXP,2344.0
2024-11-01,Earwear,BeatXP,543.0
2025-04-01,Earwear,BeatXP,540.0
2020-03-01,Earwear,Bose,3466.0
2020-05-01,Earwear,Bose,768.0
2020-07-01,Earwear,Bose,150.0
2020-08-01,Earwear,Bose,350.0
2020-09-01,Earwear,Bose,6352.0
2020-10-01,Earwear,Bose,4879.0
2020-11-01,Earwear,Bose,8165.0
2020-12-01,Earwear,Bose,2105.0
2021-05-01,Earwear,Bose,1589.0
2021-06-01,Earwear,Bose,85.0
2021-07-01,Earwear,Bose,2342.0
2021-08-01,Earwear,Bose,3499.0
2021-09-01,Earwear,Bose,6046.0
2021-10-01,Earwear,Bose,6932.0
2021-11-01,Earwear,Bose,4199.0
2021-12-01,Earwear,Bose,418.0
2022-01-01,Earwear,Bose,2642.0
2022-02-01,Earwear,Bose,2903.0
2022-03-01,Earwear,Bose,4583.0
2022-04-01,Earwear,Bose,345.0
2022-05-01,Earwear,Bose,54.0
2022-07-01,Earwear,Bose,3526.0
2022-08-01,Earwear,Bose,8484.0
2022-09-01,Earwear,Bose,6210.0
2022-10-01,Earwear,Bose,4530.0
2022-11-01,Earwear,Bose,1224.0
2022-12-01,Earwear,Bose,354.0
2023-01-01,Earwear,Bose,3996.0
2023-02-01,Earwear,Bose,210.0
2023-03-01,Earwear,Bose,5016.0
2023-04-01,Earwear,Bose,96.0
2023-05-01,Earwear,Bose,11304.0
2023-06-01,Earwear,Bose,2748.0
2023-07-01,Earwear,Bose,4634.0
2023-08-01,Earwear,Bose,840.0
2023-09-01,Earwear,Bose,7314.0
2023-10-01,Earwear,Bose,8982.0
2023-11-01,Earwear,Bose,1326.0
2023-12-01,Earwear,Bose,8289.0
2024-01-01,Earwear,Bose,3681.0
2024-02-01,Earwear,Bose,6943.0
2024-03-01,Earwear,Bose,6396.0
2024-04-01,Earwear,Bose,4176.0
2024-05-01,Earwear,Bose,6168.0
2024-06-01,Earwear,Bose,5076.0
2024-07-01,Earwear,Bose,6597.0
2024-08-01,Earwear,Bose,5937.0
2024-09-01,Earwear,Bose,7466.0
2024-10-01,Earwear,Bose,11842.0
2024-11-01,Earwear,Bose,3347.0
2024-12-01,Earwear,Bose,6009.0
2025-01-01,Earwear,Bose,6871.0
2025-02-01,Earwear,Bose,3765.0
2025-03-01,Earwear,Bose,4669.0
2025-04-01,Earwear,Bose,1598.0
2025-05-01,Earwear,Bose,2355.0
2025-06-01,Earwear,Bose,2838.0
2025-07-01,Earwear,Bose,3282.0
2025-08-01,Earwear,Bose,2563.0
2025-09-01,Earwear,Bose,2770.0
2025-10-01,Earwear,Bose,4081.0
2025-11-01,Earwear,Bose,1810.0
2025-12-01,Earwear,Bose,2097.0
2026-01-01,Earwear,Bose,2185.0
2026-02-01,Earwear,Bose,1560.0
2026-03-01,Earwear,Bose,2059.0
2022-12-01,Earwear,Brandscale,402391.0
2023-01-01,Earwear,Brandscale,91537.0
2023-02-01,Earwear,Brandscale,40952.0
2023-03-01,Earwear,Brandscale,23895.0
2023-04-01,Earwear,Brandscale,19886.0
2023-05-01,Earwear,Brandscale,25862.0
2023-06-01,Earwear,Brandscale,133943.0
2023-07-01,Earwear,Brandscale,189770.0
2023-08-01,Earwear,Brandscale,245400.0
2023-09-01,Earwear,Brandscale,54375.0
2023-11-01,Earwear,Brandscale,54390.0
2023-12-01,Earwear,Brandscale,12953.000000000002
2024-01-01,Earwear,Brandscale,10500.0
2024-02-01,Earwear,Brandscale,39999.0
2024-06-01,Earwear,Brandscale,11558.0
2021-01-01,Earwear,Coolpad,7983.0
2020-01-01,Earwear,Crossbeats,2999.0
2020-06-01,Earwear,Crossbeats,5061.0
2020-07-01,Earwear,Crossbeats,6948.0
2020-08-01,Earwear,Crossbeats,1988.0
2020-10-01,Earwear,Crossbeats,5014.0
2020-11-01,Earwear,Crossbeats,1990.0
2020-12-01,Earwear,Crossbeats,4006.0
2021-02-01,Earwear,Crossbeats,2499.0
2021-03-01,Earwear,Crossbeats,3501.0
2021-07-01,Earwear,Crossbeats,1965.0
2021-09-01,Earwear,Crossbeats,3998.0
2021-10-01,Earwear,Crossbeats,5931.0
2021-11-01,Earwear,Crossbeats,2972.0
2021-12-01,Earwear,Crossbeats,2962.0
2022-04-01,Earwear,Crossbeats,3882.0
2022-06-01,Earwear,Crossbeats,2000.0
2022-07-01,Earwear,Crossbeats,6490.0
2022-08-01,Earwear,Crossbeats,4506.0
2022-10-01,Earwear,Crossbeats,4791.0
2022-11-01,Earwear,Crossbeats,7867.999999999998
2022-12-01,Earwear,Crossbeats,5455.0
2023-01-01,Earwear,Crossbeats,7195.0
2023-02-01,Earwear,Crossbeats,4999.0
2023-03-01,Earwear,Crossbeats,2764.0
2023-04-01,Earwear,Crossbeats,3141.0
2023-05-01,Earwear,Crossbeats,5015.0
2023-06-01,Earwear,Crossbeats,2987.0
2023-07-01,Earwear,Crossbeats,3417.0
2023-08-01,Earwear,Crossbeats,4607.0
2023-09-01,Earwear,Crossbeats,9029.0
2023-10-01,Earwear,Crossbeats,3015.0
2023-11-01,Earwear,Crossbeats,1002.0
2024-01-01,Earwear,Crossbeats,7546.0
2024-02-01,Earwear,Crossbeats,5504.0
2024-03-01,Earwear,Crossbeats,2006.0
2024-04-01,Earwear,Crossbeats,2050.0
2024-05-01,Earwear,Crossbeats,5010.0
2024-06-01,Earwear,Crossbeats,2037.0
2024-07-01,Earwear,Crossbeats,4002.0
2024-08-01,Earwear,Crossbeats,2000.0
2024-09-01,Earwear,Crossbeats,13.0
2024-12-01,Earwear,Crossbeats,3012.0
2025-01-01,Earwear,Crossbeats,9115.0
2025-03-01,Earwear,Crossbeats,1500.0
2025-04-01,Earwear,Crossbeats,5019.0
2025-05-01,Earwear,Crossbeats,1500.0
2025-07-01,Earwear,Crossbeats,2010.0
2025-08-01,Earwear,Crossbeats,2000.0
2025-09-01,Earwear,Crossbeats,3019.0
2025-10-01,Earwear,Crossbeats,2500.0
2025-12-01,Earwear,Crossbeats,3015.0
2026-02-01,Earwear,Crossbeats,3015.0
2026-03-01,Earwear,Crossbeats,1754.0
2021-07-01,Earwear,Dizo Innovation Pvt. Ltd,86568.0
2021-08-01,Earwear,Dizo Innovation Pvt. Ltd,19305.0
2021-09-01,Earwear,Dizo Innovation Pvt. Ltd,171913.0
2021-10-01,Earwear,Dizo Innovation Pvt. Ltd,49336.0
2021-11-01,Earwear,Dizo Innovation Pvt. Ltd,39505.0
2021-12-01,Earwear,Dizo Innovation Pvt. Ltd,28471.0
2022-01-01,Earwear,Dizo Innovation Pvt. Ltd,58407.0
2022-02-01,Earwear,Dizo Innovation Pvt. Ltd,48185.0
2022-03-01,Earwear,Dizo Innovation Pvt. Ltd,43620.0
2022-04-01,Earwear,Dizo Innovation Pvt. Ltd,30146.0
2022-05-01,Earwear,Dizo Innovation Pvt. Ltd,37633.0
2022-06-01,Earwear,Dizo Innovation Pvt. Ltd,48657.0
2022-07-01,Earwear,Dizo Innovation Pvt. Ltd,45198.0
2022-08-01,Earwear,Dizo Innovation Pvt. Ltd,79073.0
2022-09-01,Earwear,Dizo Innovation Pvt. Ltd,58787.0
2022-10-01,Earwear,Dizo Innovation Pvt. Ltd,14305.0
2022-11-01,Earwear,Dizo Innovation Pvt. Ltd,16276.0
2022-12-01,Earwear,Dizo Innovation Pvt. Ltd,25624.0
2023-01-01,Earwear,Dizo Innovation Pvt. Ltd,22255.0
2023-02-01,Earwear,Dizo Innovation Pvt. Ltd,14230.0
2023-10-01,Earwear,Dynamic Conglomerate,24045.0
2023-11-01,Earwear,Dynamic Conglomerate,9987.0
2024-01-01,Earwear,Dynamic Conglomerate,10001.0
2024-04-01,Earwear,Dynamic Conglomerate,49080.0
2024-07-01,Earwear,Dynamic Conglomerate,11941.0
2024-09-01,Earwear,Dynamic Conglomerate,15150.0
2024-10-01,Earwear,Dynamic Conglomerate,41284.0
2024-11-01,Earwear,Dynamic Conglomerate,13172.0
2024-12-01,Earwear,Dynamic Conglomerate,14001.0
2025-01-01,Earwear,Dynamic Conglomerate,12000.0
2025-02-01,Earwear,Dynamic Conglomerate,17338.0
2025-04-01,Earwear,Dynamic Conglomerate,3092.0
2025-05-01,Earwear,Dynamic Conglomerate,3160.0
2025-06-01,Earwear,Dynamic Conglomerate,3105.0
2025-07-01,Earwear,Dynamic Conglomerate,565.0
2025-08-01,Earwear,Dynamic Conglomerate,7012.0
2025-09-01,Earwear,Dynamic Conglomerate,3445.0
2025-10-01,Earwear,Dynamic Conglomerate,9227.0
2025-11-01,Earwear,Dynamic Conglomerate,2512.0
2025-12-01,Earwear,Dynamic Conglomerate,8211.0
2026-01-01,Earwear,Dynamic Conglomerate,54.0
2026-02-01,Earwear,Dynamic Conglomerate,4075.0
2026-03-01,Earwear,Dynamic Conglomerate,5299.0
2020-01-01,Earwear,Eccentric Enterprises,4136.0
2020-02-01,Earwear,Eccentric Enterprises,2620.0
2020-03-01,Earwear,Eccentric Enterprises,512.0
2020-05-01,Earwear,Eccentric Enterprises,2535.0
2020-06-01,Earwear,Eccentric Enterprises,7449.0
2020-07-01,Earwear,Eccentric Enterprises,21634.0
2020-08-01,Earwear,Eccentric Enterprises,18477.0
2020-09-01,Earwear,Eccentric Enterprises,23955.0
2020-10-01,Earwear,Eccentric Enterprises,30358.0
2020-11-01,Earwear,Eccentric Enterprises,18835.0
2020-12-01,Earwear,Eccentric Enterprises,16296.0
2021-01-01,Earwear,Eccentric Enterprises,18442.0
2021-02-01,Earwear,Eccentric Enterprises,18039.0
2021-03-01,Earwear,Eccentric Enterprises,20138.0
2021-04-01,Earwear,Eccentric Enterprises,39968.0
2021-05-01,Earwear,Eccentric Enterprises,36461.0
2021-06-01,Earwear,Eccentric Enterprises,50006.0
2021-07-01,Earwear,Eccentric Enterprises,56318.0
2021-08-01,Earwear,Eccentric Enterprises,115695.0
2021-09-01,Earwear,Eccentric Enterprises,94003.0
2021-10-01,Earwear,Eccentric Enterprises,51605.0
2021-11-01,Earwear,Eccentric Enterprises,33198.0
2021-12-01,Earwear,Eccentric Enterprises,86535.0
2022-01-01,Earwear,Eccentric Enterprises,59031.0
2022-02-01,Earwear,Eccentric Enterprises,57002.0
2022-03-01,Earwear,Eccentric Enterprises,23587.0
2022-04-01,Earwear,Eccentric Enterprises,71278.0
2022-05-01,Earwear,Eccentric Enterprises,105874.0
2022-06-01,Earwear,Eccentric Enterprises,71189.0
2022-07-01,Earwear,Eccentric Enterprises,134407.0
2022-08-01,Earwear,Eccentric Enterprises,158107.0
2022-09-01,Earwear,Eccentric Enterprises,214304.0
2022-10-01,Earwear,Eccentric Enterprises,71255.0
2022-11-01,Earwear,Eccentric Enterprises,52474.0
2022-12-01,Earwear,Eccentric Enterprises,95510.0
2023-01-01,Earwear,Eccentric Enterprises,99750.0
2023-02-01,Earwear,Eccentric Enterprises,71671.0
2023-03-01,Earwear,Eccentric Enterprises,97651.0
2023-04-01,Earwear,Eccentric Enterprises,106021.0
2023-05-01,Earwear,Eccentric Enterprises,77014.0
2023-06-01,Earwear,Eccentric Enterprises,74629.0
2023-07-01,Earwear,Eccentric Enterprises,68542.0
2023-08-01,Earwear,Eccentric Enterprises,111407.0
2023-09-01,Earwear,Eccentric Enterprises,139584.0
2023-10-01,Earwear,Eccentric Enterprises,7126.0
2023-11-01,Earwear,Eccentric Enterprises,18234.0
2023-12-01,Earwear,Eccentric Enterprises,66747.0
2024-01-01,Earwear,Eccentric Enterprises,45438.0
2024-02-01,Earwear,Eccentric Enterprises,77207.0
2024-03-01,Earwear,Eccentric Enterprises,59684.0
2024-04-01,Earwear,Eccentric Enterprises,80556.0
2024-05-01,Earwear,Eccentric Enterprises,70471.0
2024-06-01,Earwear,Eccentric Enterprises,84299.0
2024-07-01,Earwear,Eccentric Enterprises,94790.0
2024-08-01,Earwear,Eccentric Enterprises,190810.0
2024-09-01,Earwear,Eccentric Enterprises,40698.0
2024-10-01,Earwear,Eccentric Enterprises,68130.0
2024-11-01,Earwear,Eccentric Enterprises,45802.0
2024-12-01,Earwear,Eccentric Enterprises,77768.0
2025-01-01,Earwear,Eccentric Enterprises,96369.0
2025-02-01,Earwear,Eccentric Enterprises,65889.0
2025-03-01,Earwear,Eccentric Enterprises,81262.0
2025-04-01,Earwear,Eccentric Enterprises,92012.0
2025-05-01,Earwear,Eccentric Enterprises,117736.0
2025-06-01,Earwear,Eccentric Enterprises,81439.0
2025-07-01,Earwear,Eccentric Enterprises,93859.0
2025-08-01,Earwear,Eccentric Enterprises,89483.0
2025-09-01,Earwear,Eccentric Enterprises,104609.0
2025-10-01,Earwear,Eccentric Enterprises,104273.0
2025-11-01,Earwear,Eccentric Enterprises,84188.0
2025-12-01,Earwear,Eccentric Enterprises,87888.0
2026-01-01,Earwear,Eccentric Enterprises,81228.0
2026-02-01,Earwear,Eccentric Enterprises,66012.0
2026-03-01,Earwear,Eccentric Enterprises,67324.0
2026-01-01,Earwear,Edifier,4906.0
2026-02-01,Earwear,Edifier,100.0
2026-03-01,Earwear,Edifier,577.0
2020-01-01,Earwear,Fire - Boltt,7584.0
2020-02-01,Earwear,Fire - Boltt,4890.0
2020-05-01,Earwear,Fire - Boltt,7467.0
2020-06-01,Earwear,Fire - Boltt,4485.0
2020-07-01,Earwear,Fire - Boltt,11767.0
2020-08-01,Earwear,Fire - Boltt,11289.0
2020-09-01,Earwear,Fire - Boltt,23498.0
2020-10-01,Earwear,Fire - Boltt,62000.0
2020-12-01,Earwear,Fire - Boltt,3003.9999999999995
2021-02-01,Earwear,Fire - Boltt,5021.0
2021-03-01,Earwear,Fire - Boltt,12512.0
2021-04-01,Earwear,Fire - Boltt,3501.0
2021-05-01,Earwear,Fire - Boltt,3500.0
2021-06-01,Earwear,Fire - Boltt,11496.0
2021-07-01,Earwear,Fire - Boltt,4990.0
2021-09-01,Earwear,Fire - Boltt,7501.0
2022-06-01,Earwear,Fire - Boltt,47546.0
2022-07-01,Earwear,Fire - Boltt,9898.0
2022-08-01,Earwear,Fire - Boltt,20968.0
2022-09-01,Earwear,Fire - Boltt,147264.0
2022-10-01,Earwear,Fire - Boltt,187751.0
2022-11-01,Earwear,Fire - Boltt,10030.0
2022-12-01,Earwear,Fire - Boltt,26046.0
2023-01-01,Earwear,Fire - Boltt,30854.0
2023-02-01,Earwear,Fire - Boltt,53874.0
2023-03-01,Earwear,Fire - Boltt,44591.0
2023-04-01,Earwear,Fire - Boltt,20940.0
2023-05-01,Earwear,Fire - Boltt,35348.0
2023-06-01,Earwear,Fire - Boltt,33827.0
2023-07-01,Earwear,Fire - Boltt,39987.0
2023-08-01,Earwear,Fire - Boltt,56759.0
2023-09-01,Earwear,Fire - Boltt,85175.0
2023-10-01,Earwear,Fire - Boltt,111054.0
2023-11-01,Earwear,Fire - Boltt,17233.0
2023-12-01,Earwear,Fire - Boltt,56980.0
2024-01-01,Earwear,Fire - Boltt,51263.0
2024-02-01,Earwear,Fire - Boltt,51915.0
2024-03-01,Earwear,Fire - Boltt,50355.0
2024-04-01,Earwear,Fire - Boltt,40060.0
2024-05-01,Earwear,Fire - Boltt,32741.0
2024-06-01,Earwear,Fire - Boltt,48205.0
2024-07-01,Earwear,Fire - Boltt,12486.0
2024-08-01,Earwear,Fire - Boltt,9438.0
2024-09-01,Earwear,Fire - Boltt,4000.0
2025-01-01,Earwear,Fire - Boltt,4565.0
2025-02-01,Earwear,Fire - Boltt,4042.0
2025-11-01,Earwear,Fire - Boltt,49983.0
2025-12-01,Earwear,Fire - Boltt,28988.0
2026-01-01,Earwear,Fire - Boltt,49978.0
2026-02-01,Earwear,Fire - Boltt,93991.0
2026-03-01,Earwear,Fire - Boltt,99901.0
2026-01-01,Earwear,Flipkart,244.0
2026-02-01,Earwear,Flipkart,100.0
2026-03-01,Earwear,Flipkart,8689.0
2023-09-01,Earwear,GIP Development SARL,47660.0
2023-10-01,Earwear,GIP Development SARL,21715.0
2023-11-01,Earwear,GIP Development SARL,27315.0
2023-12-01,Earwear,GIP Development SARL,10888.0
2024-01-01,Earwear,GIP Development SARL,16517.0
2024-02-01,Earwear,GIP Development SARL,5290.0
2024-03-01,Earwear,GIP Development SARL,14708.0
2024-04-01,Earwear,GIP Development SARL,23450.0
2024-05-01,Earwear,GIP Development SARL,8927.0
2024-06-01,Earwear,GIP Development SARL,5206.0
2024-08-01,Earwear,GIP Development SARL,8232.0
2024-09-01,Earwear,GIP Development SARL,22673.0
2024-10-01,Earwear,GIP Development SARL,22702.0
2024-11-01,Earwear,GIP Development SARL,4326.0
2024-12-01,Earwear,GIP Development SARL,15283.0
2025-01-01,Earwear,GIP Development SARL,5493.0
2025-02-01,Earwear,GIP Development SARL,13100.0
2025-03-01,Earwear,GIP Development SARL,2176.0
2025-04-01,Earwear,GIP Development SARL,2500.0
2025-05-01,Earwear,GIP Development SARL,3295.0
2025-06-01,Earwear,GIP Development SARL,5861.0
2025-07-01,Earwear,GIP Development SARL,3718.0
2025-08-01,Earwear,GIP Development SARL,3976.0
2025-09-01,Earwear,GIP Development SARL,10029.0
2025-10-01,Earwear,GIP Development SARL,3480.0
2025-11-01,Earwear,GIP Development SARL,6070.0
2025-12-01,Earwear,GIP Development SARL,23856.0
2026-01-01,Earwear,GIP Development SARL,12751.0
2026-02-01,Earwear,GIP Development SARL,12647.0
2026-03-01,Earwear,GIP Development SARL,22434.0
2020-01-01,Earwear,GN Group,2583.0
2020-02-01,Earwear,GN Group,637.0
2020-03-01,Earwear,GN Group,3035.0
2020-06-01,Earwear,GN Group,2870.0
2020-07-01,Earwear,GN Group,12284.0
2020-08-01,Earwear,GN Group,12942.0
2020-09-01,Earwear,GN Group,59165.0
2020-10-01,Earwear,GN Group,26343.0
2020-11-01,Earwear,GN Group,7928.0
2020-12-01,Earwear,GN Group,1058.0
2021-01-01,Earwear,GN Group,20190.0
2021-02-01,Earwear,GN Group,12009.0
2021-03-01,Earwear,GN Group,37279.0
2021-04-01,Earwear,GN Group,11868.0
2021-05-01,Earwear,GN Group,14593.0
2021-06-01,Earwear,GN Group,8689.0
2021-07-01,Earwear,GN Group,20471.0
2021-08-01,Earwear,GN Group,16541.0
2021-09-01,Earwear,GN Group,8373.0
2021-10-01,Earwear,GN Group,44740.0
2021-11-01,Earwear,GN Group,1137.0
2021-12-01,Earwear,GN Group,6117.0
2022-01-01,Earwear,GN Group,1965.0
2022-02-01,Earwear,GN Group,4011.0
2022-03-01,Earwear,GN Group,1524.0
2022-04-01,Earwear,GN Group,566.0
2022-05-01,Earwear,GN Group,7255.0
2022-06-01,Earwear,GN Group,20447.0
2022-07-01,Earwear,GN Group,18342.0
2022-08-01,Earwear,GN Group,39764.0
2022-09-01,Earwear,GN Group,10106.0
2022-10-01,Earwear,GN Group,3323.0
